hbid_id,hbid_id_ds,basin_name,hbid_name,catchment,catchment_,area_km2,country,brazil_UF,basin_ID
5072,5039,Amazon,Amazon 3,c5072,c5039,30879.034853776753,Brazil,AM,Abacaxis
5150,5072,Amazon,Preto do Igapo-Acu 1,c5150,c5072,13364.288288422445,Brazil,AM,Madeira
5153,5150,Amazon,Preto do Igapo-Acu 2,c5153,c5150,13653.344415903728,Brazil,AM,Madeira
5156,5072,Amazon,Manuru,c5156,c5072,10003.20982026444,Brazil,PA,Abacaxis
5175,5171,Amazon,Purus 4,c5175,c5171,32101.04974866674,Brazil,AC,Purus
5177,5175,Amazon,Iaco,c5177,c5175,26466.14108184485,Brazil,AC,Purus
5178,5159,Amazon,Negro 1,c5178,c5159,21068.670676092537,Brazil,AM,Negro
5184,5182,Amazon,Jauaperi 2,c5184,c5182,16875.685785748512,Brazil,RR,Negro
5187,5186,Amazon,Catrimani,c5187,c5186,12614.738889462733,Brazil,RR,Negro
4007,4006,"Northeast South America, South Atlantic Coast",Kwitaro,c4007,c4006,10667.387612767503,Guyana,,AMZ_OTCA
5195,5192,Amazon,Tacutu,c5195,c5192,16704.65344308219,Brazil,RR,Negro
4008,4005,"Northeast South America, South Atlantic Coast",Mazaruni,c4008,c4005,31685.614573200357,Guyana,RR,AMZ_OTCA
5196,5195,Amazon,Ireng,c5196,c5195,11487.596445024186,Guyana,RR,Negro
5216,5159,Amazon,Amazon 5,c5216,c5159,17072.79127310892,Brazil,AM,Main_AMZ
5220,5216,Amazon,Japura,c5220,c5216,47173.59001311487,Brazil,AM,Caqueta_Japura
5233,5216,Amazon,Amazon 6,c5233,c5216,29106.286078734807,Brazil,AM,Main_AMZ
5235,5233,Amazon,Putumayo 1,c5235,c5233,35073.50139021155,Colombia,AM,Putumayo_Ica
5237,5235,Amazon,Igara Parana,c5237,c5235,13026.299748234193,Colombia,,Putumayo_Ica
5245,5233,Amazon,Amazon 7,c5245,c5233,54208.64238004879,Peru,AM,Main_AMZ
5265,5245,Amazon,Ucayali 1,c5265,c5245,62970.890483454416,Peru,AC,Ucayali
5270,5265,Amazon,Ucayali 2,c5270,c5265,21954.974250743653,Peru,,Ucayali
5272,5271,Amazon,Perene,c5272,c5271,18345.580829559687,Peru,,Ucayali
5281,5278,Amazon,Itacuai,c5281,c5278,23825.408378765533,Brazil,AM,Javari
6001,-999,Tocantins,Pacaja,c6001,outlet,30691.876274350445,Brazil,PA,AMZ_OTCA
5016,5014,Amazon,Fresco 2,c5016,c5014,26579.78279479048,Brazil,PA,Xingu
6005,6004,Tocantins,Araguaia 1,c6005,c6004,36018.09002315238,Brazil,TO,Tocantins
6007,6005,Tocantins,Araguaia 2,c6007,c6005,63031.581149858306,Brazil,TO,Tocantins
6016,6009,Tocantins,Mortes 1,c6016,c6009,21423.6516925931,Brazil,MT,Tocantins
6019,6009,Tocantins,Araguaia 4,c6019,c6009,24373.871539442527,Brazil,GO,Tocantins
6031,6030,Tocantins,Palma,c6031,c6030,17857.048917041986,Brazil,TO,Tocantins
6033,6029,Tocantins,Manuel Alves da Natividade,c6033,c6029,14962.579823982998,Brazil,TO,Tocantins
